variant,assignment_date,daily_eligible_users,daily_converted_users,daily_conversion_rate_pct,cumulative_eligible_users,cumulative_converted_users,cumulative_conversion_rate_pct
control,2026-06-01,693,59.0,8.51,693.0,59.0,8.51
control,2026-06-02,694,57.0,8.21,1387.0,116.0,8.36
control,2026-06-03,679,67.0,9.87,2066.0,183.0,8.86
control,2026-06-04,722,76.0,10.53,2788.0,259.0,9.29
control,2026-06-05,702,65.0,9.26,3490.0,324.0,9.28
control,2026-06-06,721,76.0,10.54,4211.0,400.0,9.5
control,2026-06-07,734,81.0,11.04,4945.0,481.0,9.73
control,2026-06-08,727,84.0,11.55,5672.0,565.0,9.96
control,2026-06-09,731,70.0,9.58,6403.0,635.0,9.92
control,2026-06-10,706,68.0,9.63,7109.0,703.0,9.89
control,2026-06-11,693,77.0,11.11,7802.0,780.0,10.0
control,2026-06-12,759,69.0,9.09,8561.0,849.0,9.92
control,2026-06-13,695,75.0,10.79,9256.0,924.0,9.98
control,2026-06-14,682,65.0,9.53,9938.0,989.0,9.95
treatment,2026-06-01,720,81.0,11.25,720.0,81.0,11.25
treatment,2026-06-02,691,89.0,12.88,1411.0,170.0,12.05
treatment,2026-06-03,729,88.0,12.07,2140.0,258.0,12.06
treatment,2026-06-04,748,79.0,10.56,2888.0,337.0,11.67
treatment,2026-06-05,723,82.0,11.34,3611.0,419.0,11.6
treatment,2026-06-06,718,86.0,11.98,4329.0,505.0,11.67
treatment,2026-06-07,725,73.0,10.07,5054.0,578.0,11.44
treatment,2026-06-08,710,104.0,14.65,5764.0,682.0,11.83
treatment,2026-06-09,664,81.0,12.2,6428.0,763.0,11.87
treatment,2026-06-10,735,110.0,14.97,7163.0,873.0,12.19
treatment,2026-06-11,735,84.0,11.43,7898.0,957.0,12.12
treatment,2026-06-12,715,86.0,12.03,8613.0,1043.0,12.11
treatment,2026-06-13,714,88.0,12.32,9327.0,1131.0,12.13
treatment,2026-06-14,735,93.0,12.65,10062.0,1224.0,12.16
