segment_type,segment_value,variant,eligible_users,converted_users,conversion_rate_pct
country,CA,control,1495,133.0,8.9
country,CA,treatment,1540,182.0,11.82
country,DE,control,986,93.0,9.43
country,DE,treatment,969,121.0,12.49
country,IN,control,990,112.0,11.31
country,IN,treatment,1026,124.0,12.09
country,UK,control,1531,149.0,9.73
country,UK,treatment,1442,179.0,12.41
country,US,control,4936,502.0,10.17
country,US,treatment,5085,618.0,12.15
device_type,desktop,control,3436,388.0,11.29
device_type,desktop,treatment,3596,465.0,12.93
device_type,mobile,control,5516,492.0,8.92
device_type,mobile,treatment,5429,631.0,11.62
device_type,tablet,control,986,109.0,11.05
device_type,tablet,treatment,1037,128.0,12.34
new_vs_returning_user,new,control,6050,546.0,9.02
new_vs_returning_user,new,treatment,5951,676.0,11.36
new_vs_returning_user,returning,control,3888,443.0,11.39
new_vs_returning_user,returning,treatment,4111,548.0,13.33
